amplitude,mean_x,mean_y,sigma_x,sigma_y,filename
7952.949990131654,302.86371407170867,546.8853920217422,11.153603816431987,8.013766072644,cr1_1994p_00008.cbf
6553.98542233542,303.92848238006,546.5404294626743,11.337546496122656,8.13526937387313,cr1_1995p_00001.cbf
4541.908933345689,303.3820939538468,546.9216522407813,12.298754849859192,8.630024299248623,cr1_1995p_00002.cbf
4329.832110278425,303.3174890993638,546.4147116278925,12.172959545278946,8.711379211503765,cr1_1995p_00003.cbf
3870.667253243539,302.9171615521721,546.3524594579292,12.160884057268692,8.944055588803982,cr1_1995p_00004.cbf
5089.950340775902,302.32473727482943,546.1313485434382,11.450857538862657,8.3321197823439,cr1_1995p_00005.cbf
8302.356466311994,302.3488322849436,546.3774403313927,11.170747198768028,7.893665357169296,cr1_1995p_00006.cbf
6288.643231932031,302.2858437902074,546.5450080750425,11.550975237800774,8.290051168950736,cr1_1995p_00007.cbf
6008.528912759669,302.53670051405294,547.1483698911326,11.518929451464968,8.077420447819817,cr1_1995p_00008.cbf
5142.538396972145,303.7277903116922,546.5802618844684,11.62487227224812,8.154336732295178,cr1_1996p_00001.cbf
3921.4469387137497,303.9667183551842,546.5302189201462,12.382837627441075,8.880142579999264,cr1_1996p_00002.cbf
4220.916586049849,303.3067573527825,546.3961666531163,12.17569380699817,8.769171062268457,cr1_1996p_00003.cbf
4073.715885888619,303.4172359817213,546.2448082392985,11.712569501861395,8.684440201005708,cr1_1996p_00004.cbf
3666.950048951576,302.4171626852151,545.7269633986252,12.49167286329929,9.180861912112563,cr1_1996p_00005.cbf
5765.629206448743,302.3460646320368,545.9841009446966,11.899791591458966,8.271049231578603,cr1_1996p_00006.cbf
5703.4301705215485,303.0020179257268,546.2105729760001,11.79841955521956,8.331802507322012,cr1_1996p_00007.cbf
5178.214669870462,303.392913048738,546.728459680407,11.826736250441362,8.213899108747247,cr1_1996p_00008.cbf
4128.504380961842,303.82832721423534,546.7192672254098,12.310156537689272,8.788884801528448,cr1_1997p_00001.cbf
3912.154390256442,304.0028514973773,546.6023597850088,12.37222137461101,8.894660024746319,cr1_1997p_00002.cbf
4741.627385285201,303.81219127864574,546.3166150176369,11.72884791936445,8.364575552788097,cr1_1997p_00003.cbf
4478.19774052184,303.89573649243243,546.6263711973654,11.315188633176165,8.380252325650043,cr1_1997p_00004.cbf
5472.704823758544,302.9064047021764,546.155864043114,11.59538845092211,8.141798639488805,cr1_1997p_00005.cbf
7221.246180259968,301.949752374313,546.2353867473868,11.676253271345647,8.077741589954126,cr1_1997p_00006.cbf
7035.0661894313,302.43520901134934,546.3550717390219,11.683786911347724,8.113359310244046,cr1_1997p_00007.cbf
6699.465334652452,303.40010362147257,546.6602246053758,11.576469577701824,8.192401852835347,cr1_1997p_00008.cbf
5526.266793705504,303.75557498115165,546.8095869936648,11.596596923458373,8.224599444963944,cr1_1998p_00001.cbf
5214.626678067302,303.83001277481264,546.7628418425028,11.729480254435746,8.358201443397963,cr1_1998p_00002.cbf
5004.51281759853,303.5170097697637,546.5084308194703,11.612469458118111,8.331379337112992,cr1_1998p_00003.cbf
6159.2050696404485,303.192479966611,546.0153221378962,11.174451563772692,8.2423785565502,cr1_1998p_00004.cbf
4775.435465980046,302.4504232315692,546.2423772108775,11.57826420421156,8.242077063856788,cr1_1998p_00005.cbf
6758.578083399314,301.560201689752,546.4885113149805,11.713716103531366,7.920012362316488,cr1_1998p_00006.cbf
6747.203757234351,303.13827295484083,546.3556911877541,11.485657466347371,8.146663067113986,cr1_1998p_00007.cbf
5406.328497100028,303.1564056221146,546.82176406225,11.887175440713309,8.270617897658443,cr1_1998p_00008.cbf
5184.043202491336,303.8908473574592,546.7550077512491,11.537425643020027,8.358150699089947,cr1_1999p_00001.cbf
4969.813320634021,304.1355008163288,546.6530310363742,11.645583295301236,8.397044483645931,cr1_1999p_00002.cbf
4650.3685500052125,303.76253077464946,546.3138719198886,11.85316122631896,8.565033049728745,cr1_1999p_00003.cbf
6803.276487138566,303.89114532671084,546.1259814531065,10.88660621531317,8.19794731193373,cr1_1999p_00004.cbf
7261.553368134108,302.6044718170458,546.4712460208931,11.24956342344494,7.900261871684701,cr1_1999p_00005.cbf
6459.2649422835175,302.6007496322635,546.6047181512671,11.638170983808577,8.134240779633242,cr1_1999p_00006.cbf
4423.474046284404,303.5518579907067,546.5170489479274,11.771929388918709,8.408208561007655,cr1_1999p_00007.cbf
5233.915140792237,303.9321297935906,546.5840248534871,11.738876945967531,8.294234979984365,cr1_1999p_00008.cbf
5007.967086113679,304.5135272724623,546.8034216798042,11.70364892121276,8.407894138384785,cr1_2000p_00001.cbf
4833.804170304943,304.5948122214768,546.6643909383351,11.811137057586944,8.448803439876114,cr1_2000p_00002.cbf
3901.4696095742142,304.8600882651338,546.6005931859664,12.05679742724122,8.839711565236852,cr1_2000p_00003.cbf
4362.189611558992,303.83227200192573,546.6155457741033,11.44146715402903,8.434049184537724,cr1_2000p_00004.cbf
5518.837671722222,302.82278069013125,546.292328998739,11.761061930978016,8.206590604032987,cr1_2000p_00005.cbf
7468.226738647231,302.0383465059353,546.4486037244021,11.652465524613776,8.034663402078731,cr1_2000p_00006.cbf
