filename,y_min,y_max,x_min,x_max,height,width,size
cr1_0060p_00006.cbf,532,562,285,323,30,38,1140
cr1_0060p_00007.cbf,533,562,285,323,29,38,1102
cr1_0060p_00008.cbf,533,563,283,321,30,38,1140
cr1_0061p_00001.cbf,533,563,283,320,30,37,1110
cr1_0061p_00002.cbf,532,563,284,321,31,37,1147
cr1_0061p_00003.cbf,533,562,284,321,29,37,1073
cr1_0061p_00004.cbf,532,562,285,322,30,37,1110
cr1_0061p_00005.cbf,533,562,285,323,29,38,1102
cr1_0061p_00006.cbf,533,562,285,323,29,38,1102
cr1_0061p_00007.cbf,533,562,285,323,29,38,1102
cr1_0061p_00008.cbf,533,563,283,321,30,38,1140
cr1_0062p_00001.cbf,533,563,283,321,30,38,1140
cr1_0062p_00002.cbf,532,563,284,322,31,38,1178
cr1_0062p_00003.cbf,533,562,284,322,29,38,1102
cr1_0062p_00004.cbf,532,562,285,322,30,37,1110
cr1_0062p_00005.cbf,533,562,285,323,29,38,1102
cr1_0062p_00006.cbf,532,562,285,323,30,38,1140
cr1_0062p_00007.cbf,533,562,285,322,29,37,1073
cr1_0062p_00008.cbf,533,563,283,321,30,38,1140
cr1_0063p_00001.cbf,533,563,284,322,30,38,1140
cr1_0063p_00002.cbf,533,563,284,322,30,38,1140
cr1_0063p_00003.cbf,533,562,284,322,29,38,1102
cr1_0063p_00004.cbf,533,562,285,322,29,37,1073
cr1_0063p_00005.cbf,533,562,285,322,29,37,1073
cr1_0063p_00006.cbf,533,562,285,323,29,38,1102
cr1_0063p_00007.cbf,533,562,285,323,29,38,1102
cr1_0063p_00008.cbf,533,563,283,321,30,38,1140
cr1_0064p_00001.cbf,533,564,284,322,31,38,1178
cr1_0064p_00002.cbf,533,563,284,322,30,38,1140
cr1_0064p_00003.cbf,533,563,285,322,30,37,1110
cr1_0064p_00004.cbf,533,562,285,322,29,37,1073
cr1_0064p_00005.cbf,533,561,285,323,28,38,1064
cr1_0064p_00006.cbf,532,562,285,323,30,38,1140
cr1_0064p_00007.cbf,533,562,285,323,29,38,1102
cr1_0064p_00008.cbf,533,563,284,322,30,38,1140
cr1_0065p_00001.cbf,533,563,284,322,30,38,1140
cr1_0065p_00002.cbf,533,563,285,322,30,37,1110
cr1_0065p_00003.cbf,533,563,285,322,30,37,1110
cr1_0065p_00004.cbf,532,561,285,323,29,38,1102
cr1_0065p_00005.cbf,533,562,286,323,29,37,1073
cr1_0065p_00006.cbf,533,563,286,323,30,37,1110
cr1_0065p_00007.cbf,533,562,285,323,29,38,1102
cr1_0065p_00008.cbf,533,564,284,322,31,38,1178
cr1_0066p_00001.cbf,533,563,285,323,30,38,1140
cr1_0066p_00002.cbf,533,563,285,323,30,38,1140
cr1_0066p_00003.cbf,533,563,285,323,30,38,1140
