,filename,y_min,y_max,x_min,x_max,height,width,size
13446,cr1_1681p_00007.cbf,483,600,239,370,117,131,15327
13447,cr1_1681p_00008.cbf,482,601,242,369,119,127,15113
13448,cr1_1682p_00001.cbf,481,599,241,368,118,127,14986
13449,cr1_1682p_00002.cbf,484,601,240,369,117,129,15093
13450,cr1_1682p_00003.cbf,484,603,242,370,119,128,15232
13451,cr1_1682p_00004.cbf,475,610,229,380,135,151,20385
13452,cr1_1682p_00005.cbf,484,596,238,368,112,130,14560
13453,cr1_1682p_00006.cbf,481,598,240,370,117,130,15210
13454,cr1_1682p_00007.cbf,483,602,239,369,119,130,15470
13455,cr1_1682p_00008.cbf,483,601,241,370,118,129,15222
13456,cr1_1683p_00001.cbf,482,601,240,370,119,130,15470
